Tag name,HTML5,Tag Type,Description
<!-- -->,FALSE,,This tag is used to apply comment in an HTML document.
<!DOCTYPE>,FALSE,meta,This tag is used to specify the version of HTML
<a>,FALSE,link,It is termed as anchor tag and it creates a hyperlink or link.
<abbr>,FALSE,text,It defines an abbreviation for a phrase or longer word.
<acronym>,FALSE,text,It defines acronym for a word. (Not supported in HTML5)
<address>,FALSE,text,It defines the author's contact information of the HTML article
<applet>,FALSE,,It defines an embedded Java applet. (Not supported in HTML5)
<area>,FALSE,image and object,It defines the area of an image map.
<article>,TRUE,,It defines the self-contained content.
<aside>,TRUE,,It defines content aside from main content. Mainly represented as sidebar.
<audio>,TRUE,,It is used to embed sound content in HTML document.
<b>,FALSE,,It is used to make a text bold.
<base>,FALSE,link,This tag defines the base URL for all relative URL within the document.
<basefont>,FALSE,,"This tag is used to set default font, size and color for all elements of document. (Not supported in HTML5)"
<bdi>,TRUE,,This tag is used to provide isolation for that part of text which may be formatted in different directions from its surrounding text.
<bdo>,FALSE,text,It is used to override the current text direction.
<big>,FALSE,,This tag is used to make font size one level larger than its surrounding content. (Not supported in HTML5)
<blockquote>,FALSE,text,It is used to define a content which is taken from another source.
<body>,FALSE,,It is used to define the body section of an HTML document.
<br>,FALSE,text,It is used to apply single line break.
<button>,FALSE,form,It is used to represent a clickable button
<canvas>,TRUE,,It is used to provide a graphics space within a web document.
<caption>,FALSE,table,It is used to define a caption for a table.
<center>,FALSE,,It is used to align the content in center. (Not supported in HTML5)
<cite>,FALSE,text,"It is used to define the title of the work, book, website, etc."
<code>,FALSE,text,It is used to display a part of programming code in an HTML document.
<col>,FALSE,table,It defines a column within a table which represent common properties of columns and used with the <colgroup> element.
<colgroup>,FALSE,table,It is used to define group of columns in a table.
<data>,TRUE,,It is used to link the content with the machine-readable translation.
<datalist>,TRUE,,It is used to provide a predefined list for input option.
<dd>,FALSE,list,It is used to provide definition/description of a term in description list.
<del>,FALSE,text,It defines a text which has been deleted from the document.
<details>,TRUE,,It defines additional details which user can either view or hide.
<dfn>,FALSE,text,It is used to indicate a term which is defined within a sentence/phrase.
<dialog>,TRUE,,It defines a dialog box or other interactive components.
<dir>,FALSE,,It is used as container for directory list of files. (Not supported in HTML5)
<div>,FALSE,,It defines a division or section within HTML document.
<dl>,FALSE,list,It is sued to define a description list. 
<dt>,FALSE,list,It is used to define a term in description list. 
<em>,FALSE,text,It is used to emphasis the content applied within this element.
<embed>,TRUE,,"It is used as embedded container for external file/application/media, etc."
<fieldset>,FALSE,form,It is used to group related elements/labels within a web form.
<figcaption>,TRUE,,It is used to add a caption or explanation for the <figure> element.
<figure>,TRUE,,"It is used to define the self-contained content, and s mostly refer as single unit."
<font>,FALSE,,"It defines the font, size, color, and face for the content. (Not supported in HTML5)"
<footer>,TRUE,,It defines the footer section of a webpage.
<form>,FALSE,form,It is used to define an HTML form.
<frame>,FALSE,,It defines a particular area of webpage which can contain another HTML file. (Not supported in HTML5)
<frameset>,FALSE,,It defines group of Frames. (Not supported in HTML5)
<h1> to <h6>,FALSE,text,It defines headings for an HTML document from level 1 to level 6.
<head>,FALSE,,It defines the head section of an HTML document.
<header>,TRUE,,It defines the header of a section or webpage.
<hr>,FALSE,,It is used to apply thematic break between paragraph-level elements.
<html>,FALSE,,It represents root of an HTML document. 
<i>,FALSE,,It is used to represent a text in some different voice. 
<iframe>,FALSE,,It defines an inline frame which can embed other content. 
<img>,FALSE,image and object,It is used to insert an image within an HTML document.
<input>,FALSE,form,It defines an input field within an HTML form. 
<ins>,FALSE,text,It represent text that has been inserted within an HTML document.
<isindex>,FALSE,,It is used to display search string for current document. (Not supported in HTML5)
<kbd>,FALSE,text,It is used to define keyboard input.
<label>,FALSE,form,It defines a text label for the input field of form.
<legend>,FALSE,form,It defines a caption for content of <fieldset>
<li>,FALSE,list,It is used to represent items in list.
<link>,FALSE,meta,It represents a relationship between current document and an external resource.
<main>,TRUE,,It represents the main content of an HTML document.
<map>,FALSE,image and object,It defines an image map with active areas.
<mark>,TRUE,,It represents a highlighted text.
<marquee>,FALSE,,It is used to insert the scrolling text or an image either horizontally or vertically. (Not supported in HTML5)
<menu>,FALSE,,It is used for creating a menu list of commands.
<meta>,FALSE,meta,It defines metadata of an HTML document.
<meter>,TRUE,,It defines scalar measurement with known range or fractional value.
<nav>,TRUE,,It represents section of page to represent navigation links.
<noframes>,FALSE,,It provides alternate content to represent in browser which does not support the <frame> elements. (Not supported in HTML5)
<noscript>,FALSE,scripting,It provides an alternative content if a script type is not supported in browser.
<object>,FALSE,image and object,It is used to embed an object in HTML file.
<ol>,FALSE,list,It defines an ordered list of items.
<optgroup>,FALSE,form,It is used to group the options of a drop-down list.
<option>,FALSE,form,It is used to define options or items in a drop-down list.
<output>,TRUE,,It is used as container element which can show result of a calculation.
<p>,FALSE,text,It represents a paragraph in an HTML document.
<param>,FALSE,image and object,It defines parameter for an <object> element
<picture>,TRUE,,It defines more than one source element and one image element.
<pre>,FALSE,text,It defines preformatted text in an HTML document.
<progress>,TRUE,,It defines the progress of a task within HTML document.
<q>,FALSE,text,It defines short inline quotation.
<rp>,TRUE,,It defines an alternative content if browser does not supports ruby annotations.
<rt>,FALSE,,It defines explanations and pronunciations in ruby annotations.
<ruby>,FALSE,,It is used to represent ruby annotations.
<s>,FALSE,,It render text which is no longer correct or relevant.
<samp>,FALSE,text,It is used to represent sample output of a computer program.
<script>,FALSE,scripting,It is used to declare the JavaScript within HTML document.
<section>,TRUE,,It defines a generic section for a document.
<select>,FALSE,form,It represents a control which provides a menu of options.
<small>,FALSE,,It is used to make text font one size smaller than document?s base font size.
<source>,TRUE,,"It defines multiple media recourses for different media element such as <picture>, <video>, and <audio> element."
<span>,FALSE,,It is used for styling and grouping inline.
<strike>,FALSE,,It is used to render strike through the text. (Not supported in HTML5)
<strong>,FALSE,text,It is used to define important text. 
<style>,FALSE,meta,It is used to contain style information for an HTML document.
<sub>,FALSE,,It defines a text which displays as a subscript text.
<summary>,TRUE,,It defines summary which can be used with <details> tag.
<sup>,FALSE,,It defines a text which represent as superscript text.
<svg>,FALSE,,It is used as container of SVG (Scalable Vector Graphics). 
<table>,FALSE,table,It is used to present data in tabular form or to create a table within HTML document.
<tbody>,FALSE,table,It represents the body content of an HTML table and used along with <thead> and <tfoot>.
<td>,FALSE,table,It is used to define cells of an HTML table which contains table data 
<template>,FALSE,,It is used to contain the client side content which will not display at time of page load and may render later using JavaScript.
<textarea>,FALSE,form,"It is used to define multiple line input, such as comment, feedback, and review, etc."
<tfoot>,FALSE,table,It defines the footer content of an HTML table.
<th>,FALSE,table,It defines the head cell of an HTML table.
<thead>,FALSE,table,It defines the header of an HTML table. It is used along with <tbody> and <tfoot> tags.
<time>,TRUE,,It is used to define data/time within an HTML document.
<title>,FALSE,meta,It defines the title or name of an HTML document.
<tr>,FALSE,table,It defines the row cells in an HTML table
<track>,FALSE,,It is used to define text tracks for <audio> and <video> elements.
<tt>,FALSE,,It is used to define teletype text. (Not supported in HTML5)
<u>,FALSE,,It is used to render enclosed text with an underline.
<ul>,FALSE,list,It defines unordered list of items.
<var>,FALSE,text,It defines variable name used in mathematical or programming context.
<video>,TRUE,,It is used to embed a video content with an HTML document
<wbr>,TRUE,,It defines a position within text where break line is possible.
